country,battingPos,BATTING,dismissal,R,B,4s,6s,SR,match id
Afghanistan,2,Ibrahim Zadran,out,22,28,4,0,78.57,ODI # 4666
Afghanistan,3,Rahmat Shah,out,16,22,3,0,72.72,ODI # 4666
Afghanistan,4,Hashmatullah Shahidi(c),out,80,88,8,1,90.90,ODI # 4666
Afghanistan,5,Azmatullah Omarzai,out,62,69,2,4,89.85,ODI # 4666
Afghanistan,6,Mohammad Nabi,out,19,27,1,0,70.37,ODI # 4666
Afghanistan,7,Najibullah Zadran,out,2,8,0,0,25.00,ODI # 4666
Afghanistan,8,Rashid Khan,out,16,12,1,1,133.33,ODI # 4666
Afghanistan,9,Mujeeb Ur Rahman,not out ,10,12,2,0,83.33,ODI # 4666
Afghanistan,10,Naveen-ul-Haq,not out ,9,8,1,0,112.50,ODI # 4666
India,1,Rohit Sharma(c),out,131,84,16,5,155.95,ODI # 4666
India,2,Ishan Kishan,out,47,47,5,2,100.00,ODI # 4666
India,3,Virat Kohli,not out ,55,56,6,0,98.21,ODI # 4666
India,4,Shreyas Iyer,not out ,25,23,1,1,108.69,ODI # 4666
South Africa,1,Quinton de Kock,out,109,106,8,5,102.83,ODI # 4667
South Africa,2,Temba Bavuma(c),out,35,55,2,0,63.63,ODI # 4667
South Africa,3,Rassie van der Dussen,out,26,30,2,0,86.66,ODI # 4667
South Africa,4,Aiden Markram,out,56,44,7,1,127.27,ODI # 4667
South Africa,5,Heinrich Klaasen,out,29,27,3,0,107.40,ODI # 4667
South Africa,6,David Miller,out,17,13,1,1,130.76,ODI # 4667
South Africa,7,Marco Jansen,out,26,22,3,1,118.18,ODI # 4667
South Africa,8,Kagiso Rabada,not out ,0,1,0,0,0.00,ODI # 4667
South Africa,9,Keshav Maharaj,not out ,0,2,0,0,0.00,ODI # 4667
Australia,1,Mitchell Marsh,out,7,15,0,0,46.66,ODI # 4667
Australia,2,David Warner,out,13,27,2,0,48.14,ODI # 4667
Australia,3,Steven Smith,out,19,16,4,0,118.75,ODI # 4667
Australia,4,Marnus Labuschagne,out,46,74,3,0,62.16,ODI # 4667
Australia,5,Josh Inglis,out,5,4,1,0,125.00,ODI # 4667
Australia,6,Glenn Maxwell,out,3,17,0,0,17.64,ODI # 4667
Australia,7,Marcus Stoinis,out,5,4,1,0,125.00,ODI # 4667
Australia,8,Mitchell Starc,out,27,51,3,0,52.94,ODI # 4667
Australia,9,Pat Cummins(c),out,22,21,4,0,104.76,ODI # 4667
Australia,10,Adam Zampa,not out ,11,16,1,0,68.75,ODI # 4667
Australia,11,Josh Hazlewood,out,2,2,0,0,100.00,ODI # 4667
Bangladesh,1,Litton Das,out,0,1,0,0,0.00,ODI # 4668
Bangladesh,2,Tanzid Hasan,out,16,17,4,0,94.11,ODI # 4668
Bangladesh,3,Mehidy Hasan Miraz,out,30,46,4,0,65.21,ODI # 4668
Bangladesh,4,Najmul Hossain Shanto,out,7,8,1,0,87.50,ODI # 4668
Bangladesh,5,Shakib Al Hasan(c),out,40,51,3,2,78.43,ODI # 4668
Bangladesh,6,Mushfiqur Rahim,out,66,75,6,2,88.00,ODI # 4668
Bangladesh,7,Towhid Hridoy,out,13,25,0,0,52.00,ODI # 4668
Bangladesh,8,Mahmudullah,not out ,41,49,2,2,83.67,ODI # 4668
Bangladesh,9,Taskin Ahmed,out,17,19,0,2,89.47,ODI # 4668
Bangladesh,10,Mustafizur Rahman,out,4,10,0,0,40.00,ODI # 4668
Bangladesh,11,Shoriful Islam,not out ,2,3,0,0,66.66,ODI # 4668
New Zealand,1,Devon Conway,out,45,59,3,0,76.27,ODI # 4668
New Zealand,2,Rachin Ravindra,out,9,13,2,0,69.23,ODI # 4668
New Zealand,3,Kane Williamson(c),out,78,107,8,1,72.89,ODI # 4668
New Zealand,4,Daryl Mitchell,not out ,89,67,6,4,132.83,ODI # 4668
New Zealand,5,Glenn Phillips,not out ,16,11,1,1,145.45,ODI # 4668
Pakistan,1,Abdullah Shafique,out,20,24,3,0,83.33,ODI # 4669
Pakistan,2,Imam-ul-Haq,out,36,38,6,0,94.73,ODI # 4669
Pakistan,3,Babar Azam(c),out,50,58,7,0,86.20,ODI # 4669
Pakistan,4,Mohammad Rizwan,out,49,69,7,0,71.01,ODI # 4669
Pakistan,5,Saud Shakeel,out,6,10,0,0,60.00,ODI # 4669
Pakistan,6,Iftikhar Ahmed,out,4,4,1,0,100.00,ODI # 4669
Pakistan,7,Shadab Khan,out,2,5,0,0,40.00,ODI # 4669
Pakistan,8,Mohammad Nawaz,out,4,14,0,0,28.57,ODI # 4669
Pakistan,9,Hasan Ali,out,12,19,2,0,63.15,ODI # 4669
Pakistan,10,Shaheen Shah Afridi,not out ,2,10,0,0,20.00,ODI # 4669
Pakistan,11,Haris Rauf,out,2,6,0,0,33.33,ODI # 4669
India,1,Rohit Sharma(c),out,86,63,6,6,136.50,ODI # 4669
India,2,Shubman Gill,out,16,11,4,0,145.45,ODI # 4669
India,3,Virat Kohli,out,16,18,3,0,88.88,ODI # 4669
India,4,Shreyas Iyer,not out ,53,62,3,2,85.48,ODI # 4669
India,5,KL Rahul,not out ,19,29,2,0,65.51,ODI # 4669
Afghanistan,1,Rahmanullah Gurbaz,out,80,57,8,4,140.35,ODI # 4670
Afghanistan,2,Ibrahim Zadran,out,28,48,3,0,58.33,ODI # 4670
Afghanistan,3,Rahmat Shah,out,3,8,0,0,37.50,ODI # 4670
Afghanistan,4,Hashmatullah Shahidi(c),out,14,36,0,0,38.88,ODI # 4670
Afghanistan,5,Azmatullah Omarzai,out,19,24,1,1,79.16,ODI # 4670
Afghanistan,6,Ikram Alikhil,out,58,66,3,2,87.87,ODI # 4670
Afghanistan,7,Mohammad Nabi,out,9,15,1,0,60.00,ODI # 4670
Afghanistan,8,Rashid Khan,out,23,22,3,0,104.54,ODI # 4670
Afghanistan,9,Mujeeb Ur Rahman,out,28,16,3,1,175.00,ODI # 4670
Afghanistan,10,Naveen-ul-Haq,out,5,6,1,0,83.33,ODI # 4670
Afghanistan,11,Fazalhaq Farooqi,not out ,2,4,0,0,50.00,ODI # 4670
England,1,Jonny Bairstow,out,2,4,0,0,50.00,ODI # 4670
England,2,Dawid Malan,out,32,39,4,0,82.05,ODI # 4670
England,3,Joe Root,out,11,17,2,0,64.70,ODI # 4670
England,4,Harry Brook,out,66,61,7,1,108.19,ODI # 4670
England,5,Jos Buttler(c),out,9,18,1,0,50.00,ODI # 4670
England,6,Liam Livingstone,out,10,14,1,0,71.42,ODI # 4670
England,7,Sam Curran,out,10,23,0,0,43.47,ODI # 4670
England,8,Chris Woakes,out,9,26,1,0,34.61,ODI # 4670
England,9,Adil Rashid,out,20,13,2,0,153.84,ODI # 4670
England,10,Mark Wood,out,18,22,3,0,81.81,ODI # 4670
England,11,Reece Topley,not out ,15,7,3,0,214.28,ODI # 4670
Sri Lanka,1,Pathum Nissanka,out,61,67,8,0,91.04,ODI # 4671
Sri Lanka,2,Kusal Perera,out,78,82,12,0,95.12,ODI # 4671
Sri Lanka,3,Kusal Mendis(c),out,9,13,0,0,69.23,ODI # 4671
Sri Lanka,4,Sadeera Samarawickrama,out,8,8,1,0,100.00,ODI # 4671
Sri Lanka,5,Charith Asalanka,out,25,39,0,1,64.10,ODI # 4671
Sri Lanka,6,Dhananjaya de Silva,out,7,13,1,0,53.84,ODI # 4671
Sri Lanka,7,Dunith Wellalage,out,2,9,0,0,22.22,ODI # 4671
Sri Lanka,8,Chamika Karunaratne,out,2,11,0,0,18.18,ODI # 4671
Sri Lanka,9,Maheesh Theekshana,out,0,5,0,0,0.00,ODI # 4671
Sri Lanka,10,Lahiru Kumara,out,4,8,1,0,50.00,ODI # 4671
Sri Lanka,11,Dilshan Madushanka,not out ,0,6,0,0,0.00,ODI # 4671
Australia,1,Mitchell Marsh,out,52,51,9,0,101.96,ODI # 4671
Australia,2,David Warner,out,11,6,0,1,183.33,ODI # 4671
Australia,3,Steven Smith,out,0,5,0,0,0.00,ODI # 4671
Australia,4,Marnus Labuschagne,out,40,60,2,0,66.66,ODI # 4671
Australia,5,Josh Inglis,out,58,59,5,1,98.30,ODI # 4671
Australia,6,Glenn Maxwell,not out ,31,21,4,2,147.61,ODI # 4671
Australia,7,Marcus Stoinis,not out ,20,10,2,1,200.00,ODI # 4671
Netherlands,1,Vikramjit Singh,out,2,16,0,0,12.50,ODI # 4672
Netherlands,2,Max O'Dowd,out,18,25,4,0,72.00,ODI # 4672
Netherlands,3,Colin Ackermann,out,12,25,1,0,48.00,ODI # 4672
Netherlands,4,Bas de Leede,out,2,7,0,0,28.57,ODI # 4672
Netherlands,5,Sybrand Engelbrecht,out,19,37,1,1,51.35,ODI # 4672
Netherlands,6,Teja Nidamanuru,out,20,25,3,0,80.00,ODI # 4672
Netherlands,7,Scott Edwards(c),not out ,78,69,10,1,113.04,ODI # 4672
Netherlands,8,Logan van Beek,out,10,27,1,0,37.03,ODI # 4672
Netherlands,9,Roelof van der Merwe,out,29,19,3,1,152.63,ODI # 4672
Netherlands,10,Aryan Dutt,not out ,23,9,0,3,255.55,ODI # 4672
South Africa,1,Temba Bavuma(c),out,16,31,2,1,51.61,ODI # 4672
South Africa,2,Quinton de Kock,out,20,22,3,0,90.90,ODI # 4672
South Africa,3,Rassie van der Dussen,out,4,7,0,0,57.14,ODI # 4672
South Africa,4,Aiden Markram,out,1,3,0,0,33.33,ODI # 4672
South Africa,5,Heinrich Klaasen,out,28,28,4,0,100.00,ODI # 4672
South Africa,6,David Miller,out,43,52,4,1,82.69,ODI # 4672
South Africa,7,Marco Jansen,out,9,25,0,0,36.00,ODI # 4672
South Africa,8,Gerald Coetzee,out,22,23,2,1,95.65,ODI # 4672
South Africa,9,Keshav Maharaj,out,40,37,5,1,108.10,ODI # 4672
South Africa,10,Kagiso Rabada,out,9,6,0,1,150.00,ODI # 4672
South Africa,11,Lungi Ngidi,not out ,7,24,0,0,29.16,ODI # 4672
New Zealand,1,Devon Conway,out,20,18,3,0,111.11,ODI # 4673
New Zealand,2,Will Young,out,54,64,4,3,84.37,ODI # 4673
New Zealand,3,Rachin Ravindra,out,32,41,2,1,78.04,ODI # 4673
New Zealand,4,Daryl Mitchell,out,1,7,0,0,14.28,ODI # 4673
New Zealand,5,Tom Latham(c),out,68,74,3,2,91.89,ODI # 4673
New Zealand,6,Glenn Phillips,out,71,80,4,4,88.75,ODI # 4673
New Zealand,7,Mark Chapman,not out ,25,12,2,1,208.33,ODI # 4673
New Zealand,8,Mitchell Santner,not out ,7,5,1,0,140.00,ODI # 4673
Afghanistan,1,Rahmanullah Gurbaz,out,11,21,0,1,52.38,ODI # 4673
Afghanistan,2,Ibrahim Zadran,out,14,15,2,0,93.33,ODI # 4673
Afghanistan,3,Rahmat Shah,out,36,62,1,0,58.06,ODI # 4673
Afghanistan,4,Hashmatullah Shahidi(c),out,8,29,1,0,27.58,ODI # 4673
Afghanistan,5,Azmatullah Omarzai,out,27,32,2,0,84.37,ODI # 4673
Afghanistan,6,Ikram Alikhil,not out ,19,21,3,0,90.47,ODI # 4673
Afghanistan,7,Mohammad Nabi,out,7,9,1,0,77.77,ODI # 4673
Afghanistan,8,Rashid Khan,out,8,13,0,1,61.53,ODI # 4673
Afghanistan,9,Mujeeb Ur Rahman,out,4,3,1,0,133.33,ODI # 4673
Afghanistan,10,Naveen-ul-Haq,out,0,1,0,0,0.00,ODI # 4673
Afghanistan,11,Fazalhaq Farooqi,out,0,2,0,0,0.00,ODI # 4673
Bangladesh,1,Tanzid Hasan,out,51,43,5,3,118.60,ODI # 4674
Bangladesh,2,Litton Das,out,66,82,7,0,80.48,ODI # 4674
Bangladesh,3,Najmul Hossain Shanto(c),out,8,17,0,0,47.05,ODI # 4674
Bangladesh,4,Mehidy Hasan Miraz,out,3,13,0,0,23.07,ODI # 4674
Bangladesh,5,Towhid Hridoy,out,16,35,0,0,45.71,ODI # 4674
Bangladesh,6,Mushfiqur Rahim,out,38,46,1,1,82.60,ODI # 4674
Bangladesh,7,Mahmudullah,out,46,36,3,3,127.77,ODI # 4674
Bangladesh,8,Nasum Ahmed,out,14,18,2,0,77.77,ODI # 4674
Bangladesh,9,Mustafizur Rahman,not out ,1,7,0,0,14.28,ODI # 4674
Bangladesh,10,Shoriful Islam,not out ,7,3,0,1,233.33,ODI # 4674
India,1,Rohit Sharma(c),out,48,40,7,2,120.00,ODI # 4674
India,2,Shubman Gill,out,53,55,5,2,96.36,ODI # 4674
India,3,Virat Kohli,not out ,103,97,6,4,106.18,ODI # 4674
India,4,Shreyas Iyer,out,19,25,2,0,76.00,ODI # 4674
India,5,KL Rahul,not out ,34,34,3,1,100.00,ODI # 4674
Australia,1,David Warner,out,163,124,14,9,131.45,ODI # 4675
Australia,2,Mitchell Marsh,out,121,108,10,9,112.03,ODI # 4675
Australia,3,Glenn Maxwell,out,0,1,0,0,0.00,ODI # 4675
Australia,4,Steven Smith,out,7,9,0,0,77.77,ODI # 4675
Australia,5,Marcus Stoinis,out,21,24,1,1,87.50,ODI # 4675
Australia,6,Josh Inglis,out,13,9,3,0,144.44,ODI # 4675
Australia,7,Marnus Labuschagne,out,8,12,1,0,66.66,ODI # 4675
Australia,8,Pat Cummins(c),not out ,6,8,0,0,75.00,ODI # 4675
Australia,9,Mitchell Starc,out,2,3,0,0,66.66,ODI # 4675
Australia,10,Josh Hazlewood,out,0,1,0,0,0.00,ODI # 4675
Australia,11,Adam Zampa,not out ,1,1,0,0,100.00,ODI # 4675
Pakistan,1,Abdullah Shafique,out,64,61,7,2,104.91,ODI # 4675
Pakistan,2,Imam-ul-Haq,out,70,71,10,0,98.59,ODI # 4675
Pakistan,3,Babar Azam(c),out,18,14,3,0,128.57,ODI # 4675
Pakistan,4,Mohammad Rizwan,out,46,40,5,0,115.00,ODI # 4675
Pakistan,5,Saud Shakeel,out,30,31,5,0,96.77,ODI # 4675
Pakistan,6,Iftikhar Ahmed,out,26,20,0,3,130.00,ODI # 4675
Pakistan,7,Mohammad Nawaz,out,14,16,0,1,87.50,ODI # 4675
Pakistan,8,Usama Mir,out,0,3,0,0,0.00,ODI # 4675
Pakistan,9,Shaheen Shah Afridi,out,10,8,2,0,125.00,ODI # 4675
Pakistan,10,Hasan Ali,out,8,8,2,0,100.00,ODI # 4675
Pakistan,11,Haris Rauf,not out ,0,1,0,0,0.00,ODI # 4675
Netherlands,1,Vikramjit Singh,out,4,13,1,0,30.76,ODI # 4676
Netherlands,2,Max O'Dowd,out,16,27,1,1,59.25,ODI # 4676
Netherlands,3,Colin Ackermann,out,29,31,5,0,93.54,ODI # 4676
Netherlands,4,Bas de Leede,out,6,21,0,0,28.57,ODI # 4676
Netherlands,5,Teja Nidamanuru,out,9,16,0,0,56.25,ODI # 4676
Netherlands,6,Scott Edwards(c),out,16,16,0,0,100.00,ODI # 4676
Netherlands,7,Sybrand Engelbrecht,out,70,82,4,1,85.36,ODI # 4676
Netherlands,8,Logan van Beek,out,59,75,1,1,78.66,ODI # 4676
Netherlands,9,Roelof van der Merwe,out,7,7,0,0,100.00,ODI # 4676
Netherlands,10,Aryan Dutt,not out ,9,6,1,0,150.00,ODI # 4676
Netherlands,11,Paul van Meekeren,out,4,5,0,0,80.00,ODI # 4676
Sri Lanka,1,Pathum Nissanka,out,54,52,9,0,103.84,ODI # 4676
Sri Lanka,2,Kusal Perera,out,5,8,1,0,62.50,ODI # 4676
Sri Lanka,3,Kusal Mendis(c),out,11,17,2,0,64.70,ODI # 4676
Sri Lanka,4,Sadeera Samarawickrama,not out ,91,107,7,0,85.04,ODI # 4676
Sri Lanka,5,Charith Asalanka,out,44,66,2,1,66.66,ODI # 4676
Sri Lanka,6,Dhananjaya de Silva,out,30,37,1,2,81.08,ODI # 4676
Sri Lanka,7,Dushan Hemantha,not out ,4,3,1,0,133.33,ODI # 4676
South Africa,1,Quinton de Kock,out,4,2,1,0,200.00,ODI # 4677
